area,bedrooms,bathrooms,location,price,year_built,price_per_sqft,house_age
1200,2,2,Chennai,4500000,2015,3750,11
1500,3,2,Bangalore,6500000,2018,4333,8
900,2,1,Chennai,3000000,2010,3333,16
2000,3,3,Hyderabad,9000000,2020,4500,6
1800,3,2,Bangalore,7500000,2017,4166,9
1300,2,2,Chennai,5000000,2016,3846,10
1600,3,2,Hyderabad,7000000,2019,4375,7
1100,2,1,Chennai,3200000,2012,2909,14
2200,4,3,Bangalore,10000000,2021,4545,5
1400,2,2,Hyderabad,6000000,2015,4285,11
1700,3,2,Chennai,6800000,2018,4000,8
1900,3,3,Bangalore,8200000,2019,4315,7
1000,2,1,Chennai,2800000,2009,2800,17
2100,4,3,Hyderabad,9500000,2022,4523,4
1250,2,2,Bangalore,5200000,2016,4160,10
